Date,ticker,exit_state,exit_flag,triggers,rank,horizon,fwd_return
2022-06-15,ITMG.JK,EXIT,1,D2,8,90D,0.38473773933922395
2022-06-20,ITMG.JK,EXIT,1,D2,8,90D,0.38738022203496447
2022-06-30,ITMG.JK,EXIT,1,D2,8,90D,0.3447432724092887
2022-07-08,ITMG.JK,HEALTHY,0,,7,90D,0.3405571042313402
2022-07-11,ITMG.JK,EXIT,1,D2,7,90D,0.39601595581642224
2022-07-12,ITMG.JK,HEALTHY,0,,7,90D,0.25825810416315553
2022-09-02,ITMG.JK,HEALTHY,0,,7,90D,0.14897366241146504
2022-10-11,ITMG.JK,HEALTHY,0,,7,90D,-0.05439947922317456
2022-11-03,ITMG.JK,HEALTHY,0,,9,90D,-0.09305205055502141
2022-11-07,ITMG.JK,HEALTHY,0,,9,90D,-0.12384594691881401
2022-11-21,ITMG.JK,HEALTHY,0,,9,90D,-0.11635223020348229
2022-12-12,ITMG.JK,HEALTHY,0,,6,90D,-0.046365888430645485
2023-01-04,ITMG.JK,EXIT,1,D1,6,90D,0.09593596021657169
2023-02-09,ITMG.JK,EXIT,1,D2,8,90D,-0.14577400483506597
2023-02-28,ITMG.JK,HEALTHY,0,,8,90D,-0.2506583133822554
2023-04-17,ITMG.JK,EXIT,1,D2,8,90D,-0.1627907772595496
2023-04-18,ITMG.JK,HEALTHY,0,,8,90D,-0.2099407156112758
2023-05-02,ITMG.JK,EXIT,1,D1+D2,8,90D,-0.1325966544800118
2024-06-11,ITMG.JK,EXIT,1,D1,16,90D,0.13414382031262928
2024-07-01,ITMG.JK,EXIT,1,D1,15,90D,0.14322387052558594
2024-10-30,ITMG.JK,EXIT,1,D1,14,90D,0.01192839749050334
2024-11-04,ITMG.JK,EXIT,1,D1,10,90D,-0.0019900292734592595
2024-11-06,ITMG.JK,EXIT,1,D1,10,90D,0.006930712892263324
2024-11-13,ITMG.JK,HEALTHY,0,,10,90D,-0.03721370926779721
2024-12-20,ITMG.JK,EXIT,1,D1,10,90D,-0.14495587808649013
2025-01-02,ITMG.JK,EXIT,1,D1,10,90D,-0.05635151630279822
2025-01-06,ITMG.JK,EXIT,1,D1,10,90D,-0.03875964900115647
2025-02-03,ITMG.JK,EXIT,1,D1,10,90D,-0.046999833389489876
2025-02-28,ITMG.JK,EXIT,1,D2,10,90D,0.09373527434545781
2025-04-14,ITMG.JK,HEALTHY,0,,10,90D,0.016404288707066783
2025-04-24,ITMG.JK,EXIT,1,D2,10,90D,0.039682557062426405
